demojized,description
:person_walking_medium-dark_skin_tone:,"hike, medium-dark skin tone, person walking, walk, walking, person, walking:, medium-dark, skin, tone"
:person_walking_dark_skin_tone:,"dark skin tone, hike, person walking, walk, walking, person, walking:, dark, skin, tone"
:man_walking:,"hike, man, man walking, walk, man, walking"
:man_walking_light_skin_tone:,"hike, light skin tone, man, man walking, walk, man, walking:, light, skin, tone"
:man_walking_medium-light_skin_tone:,"hike, man, man walking, medium-light skin tone, walk, man, walking:, medium-light, skin, tone"
:man_walking_medium_skin_tone:,"hike, man, man walking, medium skin tone, walk, man, walking:, medium, skin, tone"
:man_walking_medium-dark_skin_tone:,"hike, man, man walking, medium-dark skin tone, walk, man, walking:, medium-dark, skin, tone"
:man_walking_dark_skin_tone:,"dark skin tone, hike, man, man walking, walk, man, walking:, dark, skin, tone"
:woman_walking:,"hike, walk, woman, woman walking, woman, walking"
:woman_walking_light_skin_tone:,"hike, light skin tone, walk, woman, woman walking, woman, walking:, light, skin, tone"
:woman_walking_medium-light_skin_tone:,"hike, medium-light skin tone, walk, woman, woman walking, woman, walking:, medium-light, skin, tone"
:woman_walking_medium_skin_tone:,"hike, medium skin tone, walk, woman, woman walking, woman, walking:, medium, skin, tone"
:woman_walking_medium-dark_skin_tone:,"hike, medium-dark skin tone, walk, woman, woman walking, woman, walking:, medium-dark, skin, tone"
:woman_walking_dark_skin_tone:,"dark skin tone, hike, walk, woman, woman walking, woman, walking:, dark, skin, tone"
:person_standing:,"person standing, stand, standing, person, standing"
:person_standing_light_skin_tone:,"light skin tone, person standing, stand, standing, person, standing:, light, skin, tone"
:person_standing_medium-light_skin_tone:,"medium-light skin tone, person standing, stand, standing, person, standing:, medium-light, skin, tone"
:person_standing_medium_skin_tone:,"medium skin tone, person standing, stand, standing, person, standing:, medium, skin, tone"
:person_standing_medium-dark_skin_tone:,"medium-dark skin tone, person standing, stand, standing, person, standing:, medium-dark, skin, tone"
:person_standing_dark_skin_tone:,"dark skin tone, person standing, stand, standing, person, standing:, dark, skin, tone"
:man_standing:,"man, standing, man, standing"
:man_standing_light_skin_tone:,"light skin tone, man, standing, man, standing:, light, skin, tone"
:man_standing_medium-light_skin_tone:,"man, medium-light skin tone, standing, man, standing:, medium-light, skin, tone"
:man_standing_medium_skin_tone:,"man, medium skin tone, standing, man, standing:, medium, skin, tone"
:man_standing_medium-dark_skin_tone:,"man, medium-dark skin tone, standing, man, standing:, medium-dark, skin, tone"
:man_standing_dark_skin_tone:,"dark skin tone, man, standing, man, standing:, dark, skin, tone"
:woman_standing:,"standing, woman, woman, standing"
:woman_standing_light_skin_tone:,"light skin tone, standing, woman, woman, standing:, light, skin, tone"
:woman_standing_medium-light_skin_tone:,"medium-light skin tone, standing, woman, woman, standing:, medium-light, skin, tone"
:woman_standing_medium_skin_tone:,"medium skin tone, standing, woman, woman, standing:, medium, skin, tone"
:woman_standing_medium-dark_skin_tone:,"medium-dark skin tone, standing, woman, woman, standing:, medium-dark, skin, tone"
:woman_standing_dark_skin_tone:,"dark skin tone, standing, woman, woman, standing:, dark, skin, tone"
:person_kneeling:,"kneel, kneeling, person kneeling, person, kneeling"
:person_kneeling_light_skin_tone:,"kneel, kneeling, light skin tone, person kneeling, person, kneeling:, light, skin, tone"
:person_kneeling_medium-light_skin_tone:,"kneel, kneeling, medium-light skin tone, person kneeling, person, kneeling:, medium-light, skin, tone"
:person_kneeling_medium_skin_tone:,"kneel, kneeling, medium skin tone, person kneeling, person, kneeling:, medium, skin, tone"
:person_kneeling_medium-dark_skin_tone:,"kneel, kneeling, medium-dark skin tone, person kneeling, person, kneeling:, medium-dark, skin, tone"
:person_kneeling_dark_skin_tone:,"dark skin tone, kneel, kneeling, person kneeling, person, kneeling:, dark, skin, tone"
:man_kneeling:,"kneeling, man, man, kneeling"
:man_kneeling_light_skin_tone:,"kneeling, light skin tone, man, man, kneeling:, light, skin, tone"
:man_kneeling_medium-light_skin_tone:,"kneeling, man, medium-light skin tone, man, kneeling:, medium-light, skin, tone"
:man_kneeling_medium_skin_tone:,"kneeling, man, medium skin tone, man, kneeling:, medium, skin, tone"
:man_kneeling_medium-dark_skin_tone:,"kneeling, man, medium-dark skin tone, man, kneeling:, medium-dark, skin, tone"
:man_kneeling_dark_skin_tone:,"dark skin tone, kneeling, man, man, kneeling:, dark, skin, tone"
:woman_kneeling:,"kneeling, woman, woman, kneeling"
:woman_kneeling_light_skin_tone:,"kneeling, light skin tone, woman, woman, kneeling:, light, skin, tone"
:woman_kneeling_medium-light_skin_tone:,"kneeling, medium-light skin tone, woman, woman, kneeling:, medium-light, skin, tone"
:woman_kneeling_medium_skin_tone:,"kneeling, medium skin tone, woman, woman, kneeling:, medium, skin, tone"
:woman_kneeling_medium-dark_skin_tone:,"kneeling, medium-dark skin tone, woman, woman, kneeling:, medium-dark, skin, tone"
:woman_kneeling_dark_skin_tone:,"dark skin tone, kneeling, woman, woman, kneeling:, dark, skin, tone"
:person_with_white_cane:,"accessibility, blind, person with white cane, person, with, white, cane"
:person_with_white_cane_light_skin_tone:,"accessibility, blind, light skin tone, person with white cane, person, with, white, cane:, light, skin, tone"
:person_with_white_cane_medium-light_skin_tone:,"accessibility, blind, medium-light skin tone, person with white cane, person, with, white, cane:, medium-light, skin, tone"
:person_with_white_cane_medium_skin_tone:,"accessibility, blind, medium skin tone, person with white cane, person, with, white, cane:, medium, skin, tone"
:person_with_white_cane_medium-dark_skin_tone:,"accessibility, blind, medium-dark skin tone, person with white cane, person, with, white, cane:, medium-dark, skin, tone"
:person_with_white_cane_dark_skin_tone:,"accessibility, blind, dark skin tone, person with white cane, person, with, white, cane:, dark, skin, tone"
:man_with_white_cane:,"accessibility, blind, man, man with white cane, man, with, white, cane"
:man_with_white_cane_light_skin_tone:,"accessibility, blind, light skin tone, man, man with white cane, man, with, white, cane:, light, skin, tone"
:man_with_white_cane_medium-light_skin_tone:,"accessibility, blind, man, man with white cane, medium-light skin tone, man, with, white, cane:, medium-light, skin, tone"
:man_with_white_cane_medium_skin_tone:,"accessibility, blind, man, man with white cane, medium skin tone, man, with, white, cane:, medium, skin, tone"
:man_with_white_cane_medium-dark_skin_tone:,"accessibility, blind, man, man with white cane, medium-dark skin tone, man, with, white, cane:, medium-dark, skin, tone"
:man_with_white_cane_dark_skin_tone:,"accessibility, blind, dark skin tone, man, man with white cane, man, with, white, cane:, dark, skin, tone"
:woman_with_white_cane:,"accessibility, blind, woman, woman with white cane, woman, with, white, cane"
:woman_with_white_cane_light_skin_tone:,"accessibility, blind, light skin tone, woman, woman with white cane, woman, with, white, cane:, light, skin, tone"
:woman_with_white_cane_medium-light_skin_tone:,"accessibility, blind, medium-light skin tone, woman, woman with white cane, woman, with, white, cane:, medium-light, skin, tone"
:woman_with_white_cane_medium_skin_tone:,"accessibility, blind, medium skin tone, woman, woman with white cane, woman, with, white, cane:, medium, skin, tone"
:woman_with_white_cane_medium-dark_skin_tone:,"accessibility, blind, medium-dark skin tone, woman, woman with white cane, woman, with, white, cane:, medium-dark, skin, tone"
:woman_with_white_cane_dark_skin_tone:,"accessibility, blind, dark skin tone, woman, woman with white cane, woman, with, white, cane:, dark, skin, tone"
:person_in_motorized_wheelchair:,"accessibility, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair"
:person_in_motorized_wheelchair_light_skin_tone:,"accessibility, light skin tone, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair:, light, skin, tone"
:person_in_motorized_wheelchair_medium-light_skin_tone:,"accessibility, medium-light skin tone, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair:, medium-light, skin, tone"
:person_in_motorized_wheelchair_medium_skin_tone:,"accessibility, medium skin tone, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair:, medium, skin, tone"
:person_in_motorized_wheelchair_medium-dark_skin_tone:,"accessibility, medium-dark skin tone, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair:, medium-dark, skin, tone"
:person_in_motorized_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, person in motorized wheelchair, wheelchair, person, in, motorized, wheelchair:, dark, skin, tone"
:man_in_motorized_wheelchair:,"accessibility, man, man in motorized wheelchair, wheelchair, man, in, motorized, wheelchair"
:man_in_motorized_wheelchair_light_skin_tone:,"accessibility, light skin tone, man, man in motorized wheelchair, wheelchair, man, in, motorized, wheelchair:, light, skin, tone"
:man_in_motorized_wheelchair_medium-light_skin_tone:,"accessibility, man, man in motorized wheelchair, medium-light skin tone, wheelchair, man, in, motorized, wheelchair:, medium-light, skin, tone"
:man_in_motorized_wheelchair_medium_skin_tone:,"accessibility, man, man in motorized wheelchair, medium skin tone, wheelchair, man, in, motorized, wheelchair:, medium, skin, tone"
:man_in_motorized_wheelchair_medium-dark_skin_tone:,"accessibility, man, man in motorized wheelchair, medium-dark skin tone, wheelchair, man, in, motorized, wheelchair:, medium-dark, skin, tone"
:man_in_motorized_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, man, man in motorized wheelchair, wheelchair, man, in, motorized, wheelchair:, dark, skin, tone"
:woman_in_motorized_wheelchair:,"accessibility, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair"
:woman_in_motorized_wheelchair_light_skin_tone:,"accessibility, light skin tone, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair:, light, skin, tone"
:woman_in_motorized_wheelchair_medium-light_skin_tone:,"accessibility, medium-light skin tone, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair:, medium-light, skin, tone"
:woman_in_motorized_wheelchair_medium_skin_tone:,"accessibility, medium skin tone, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair:, medium, skin, tone"
:woman_in_motorized_wheelchair_medium-dark_skin_tone:,"accessibility, medium-dark skin tone, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair:, medium-dark, skin, tone"
:woman_in_motorized_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, wheelchair, woman, woman in motorized wheelchair, woman, in, motorized, wheelchair:, dark, skin, tone"
:person_in_manual_wheelchair:,"accessibility, person in manual wheelchair, wheelchair, person, in, manual, wheelchair"
:person_in_manual_wheelchair_light_skin_tone:,"accessibility, light skin tone, person in manual wheelchair, wheelchair, person, in, manual, wheelchair:, light, skin, tone"
:person_in_manual_wheelchair_medium-light_skin_tone:,"accessibility, medium-light skin tone, person in manual wheelchair, wheelchair, person, in, manual, wheelchair:, medium-light, skin, tone"
:person_in_manual_wheelchair_medium_skin_tone:,"accessibility, medium skin tone, person in manual wheelchair, wheelchair, person, in, manual, wheelchair:, medium, skin, tone"
:person_in_manual_wheelchair_medium-dark_skin_tone:,"accessibility, medium-dark skin tone, person in manual wheelchair, wheelchair, person, in, manual, wheelchair:, medium-dark, skin, tone"
:person_in_manual_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, person in manual wheelchair, wheelchair, person, in, manual, wheelchair:, dark, skin, tone"
:man_in_manual_wheelchair:,"accessibility, man, man in manual wheelchair, wheelchair, man, in, manual, wheelchair"
:man_in_manual_wheelchair_light_skin_tone:,"accessibility, light skin tone, man, man in manual wheelchair, wheelchair, man, in, manual, wheelchair:, light, skin, tone"
:man_in_manual_wheelchair_medium-light_skin_tone:,"accessibility, man, man in manual wheelchair, medium-light skin tone, wheelchair, man, in, manual, wheelchair:, medium-light, skin, tone"
:man_in_manual_wheelchair_medium_skin_tone:,"accessibility, man, man in manual wheelchair, medium skin tone, wheelchair, man, in, manual, wheelchair:, medium, skin, tone"
:man_in_manual_wheelchair_medium-dark_skin_tone:,"accessibility, man, man in manual wheelchair, medium-dark skin tone, wheelchair, man, in, manual, wheelchair:, medium-dark, skin, tone"
:man_in_manual_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, man, man in manual wheelchair, wheelchair, man, in, manual, wheelchair:, dark, skin, tone"
:woman_in_manual_wheelchair:,"accessibility, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair"
:woman_in_manual_wheelchair_light_skin_tone:,"accessibility, light skin tone, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair:, light, skin, tone"
:woman_in_manual_wheelchair_medium-light_skin_tone:,"accessibility, medium-light skin tone, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair:, medium-light, skin, tone"
:woman_in_manual_wheelchair_medium_skin_tone:,"accessibility, medium skin tone, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair:, medium, skin, tone"
:woman_in_manual_wheelchair_medium-dark_skin_tone:,"accessibility, medium-dark skin tone, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair:, medium-dark, skin, tone"
:woman_in_manual_wheelchair_dark_skin_tone:,"accessibility, dark skin tone, wheelchair, woman, woman in manual wheelchair, woman, in, manual, wheelchair:, dark, skin, tone"
:person_running:,"marathon, person running, running, person, running"
:person_running_light_skin_tone:,"light skin tone, marathon, person running, running, person, running:, light, skin, tone"
:person_running_medium-light_skin_tone:,"marathon, medium-light skin tone, person running, running, person, running:, medium-light, skin, tone"
:person_running_medium_skin_tone:,"marathon, medium skin tone, person running, running, person, running:, medium, skin, tone"
:person_running_medium-dark_skin_tone:,"marathon, medium-dark skin tone, person running, running, person, running:, medium-dark, skin, tone"
:person_running_dark_skin_tone:,"dark skin tone, marathon, person running, running, person, running:, dark, skin, tone"
:man_running:,"man, marathon, racing, running, man, running"
:man_running_light_skin_tone:,"light skin tone, man, marathon, racing, running, man, running:, light, skin, tone"
:man_running_medium-light_skin_tone:,"man, marathon, medium-light skin tone, racing, running, man, running:, medium-light, skin, tone"
:man_running_medium_skin_tone:,"man, marathon, medium skin tone, racing, running, man, running:, medium, skin, tone"
:man_running_medium-dark_skin_tone:,"man, marathon, medium-dark skin tone, racing, running, man, running:, medium-dark, skin, tone"
:man_running_dark_skin_tone:,"dark skin tone, man, marathon, racing, running, man, running:, dark, skin, tone"
:woman_running:,"marathon, racing, running, woman, woman, running"
:woman_running_light_skin_tone:,"light skin tone, marathon, racing, running, woman, woman, running:, light, skin, tone"
:woman_running_medium-light_skin_tone:,"marathon, medium-light skin tone, racing, running, woman, woman, running:, medium-light, skin, tone"
:woman_running_medium_skin_tone:,"marathon, medium skin tone, racing, running, woman, woman, running:, medium, skin, tone"
:woman_running_medium-dark_skin_tone:,"marathon, medium-dark skin tone, racing, running, woman, woman, running:, medium-dark, skin, tone"
:woman_running_dark_skin_tone:,"dark skin tone, marathon, racing, running, woman, woman, running:, dark, skin, tone"
:woman_dancing:,"dance, dancing, woman, woman, dancing"
:woman_dancing_light_skin_tone:,"dance, dancing, light skin tone, woman, woman, dancing:, light, skin, tone"
:woman_dancing_medium-light_skin_tone:,"dance, dancing, medium-light skin tone, woman, woman, dancing:, medium-light, skin, tone"
:woman_dancing_medium_skin_tone:,"dance, dancing, medium skin tone, woman, woman, dancing:, medium, skin, tone"
:woman_dancing_medium-dark_skin_tone:,"dance, dancing, medium-dark skin tone, woman, woman, dancing:, medium-dark, skin, tone"
:woman_dancing_dark_skin_tone:,"dance, dancing, dark skin tone, woman, woman, dancing:, dark, skin, tone"
:man_dancing:,"dance, dancing, man, man, dancing"
:man_dancing_light_skin_tone:,"dance, dancing, light skin tone, man, man, dancing:, light, skin, tone"
:man_dancing_medium-light_skin_tone:,"dance, dancing, man, medium-light skin tone, man, dancing:, medium-light, skin, tone"
:man_dancing_medium_skin_tone:,"dance, dancing, man, medium skin tone, man, dancing:, medium, skin, tone"
:man_dancing_medium-dark_skin_tone:,"dance, dancing, man, medium-dark skin tone, man, dancing:, medium-dark, skin, tone"
:man_dancing_dark_skin_tone:,"dance, dancing, dark skin tone, man, man, dancing:, dark, skin, tone"
:person_in_suit_levitating:,"business, person, person in suit levitating, suit, person, in, suit, levitating"
:person_in_suit_levitating_light_skin_tone:,"business, light skin tone, person, person in suit levitating, suit, person, in, suit, levitating:, light, skin, tone"
:person_in_suit_levitating_medium-light_skin_tone:,"business, medium-light skin tone, person, person in suit levitating, suit, person, in, suit, levitating:, medium-light, skin, tone"
:person_in_suit_levitating_medium_skin_tone:,"business, medium skin tone, person, person in suit levitating, suit, person, in, suit, levitating:, medium, skin, tone"
:person_in_suit_levitating_medium-dark_skin_tone:,"business, medium-dark skin tone, person, person in suit levitating, suit, person, in, suit, levitating:, medium-dark, skin, tone"
:person_in_suit_levitating_dark_skin_tone:,"business, dark skin tone, person, person in suit levitating, suit, person, in, suit, levitating:, dark, skin, tone"
:people_with_bunny_ears:,"bunny ear, dancer, partying, people with bunny ears, people, with, bunny, ears"
:men_with_bunny_ears:,"bunny ear, dancer, men, men with bunny ears, partying, men, with, bunny, ears"
:women_with_bunny_ears:,"bunny ear, dancer, partying, women, women with bunny ears, women, with, bunny, ears"
:person_in_steamy_room:,"person in steamy room, sauna, steam room, person, in, steamy, room"
:person_in_steamy_room_light_skin_tone:,"light skin tone, person in steamy room, sauna, steam room, person, in, steamy, room:, light, skin, tone"
:person_in_steamy_room_medium-light_skin_tone:,"medium-light skin tone, person in steamy room, sauna, steam room, person, in, steamy, room:, medium-light, skin, tone"
:person_in_steamy_room_medium_skin_tone:,"medium skin tone, person in steamy room, sauna, steam room, person, in, steamy, room:, medium, skin, tone"
:person_in_steamy_room_medium-dark_skin_tone:,"medium-dark skin tone, person in steamy room, sauna, steam room, person, in, steamy, room:, medium-dark, skin, tone"
:person_in_steamy_room_dark_skin_tone:,"dark skin tone, person in steamy room, sauna, steam room, person, in, steamy, room:, dark, skin, tone"
:man_in_steamy_room:,"man in steamy room, sauna, steam room, man, in, steamy, room"
:man_in_steamy_room_light_skin_tone:,"light skin tone, man in steamy room, sauna, steam room, man, in, steamy, room:, light, skin, tone"
:man_in_steamy_room_medium-light_skin_tone:,"man in steamy room, medium-light skin tone, sauna, steam room, man, in, steamy, room:, medium-light, skin, tone"
:man_in_steamy_room_medium_skin_tone:,"man in steamy room, medium skin tone, sauna, steam room, man, in, steamy, room:, medium, skin, tone"
:man_in_steamy_room_medium-dark_skin_tone:,"man in steamy room, medium-dark skin tone, sauna, steam room, man, in, steamy, room:, medium-dark, skin, tone"
:man_in_steamy_room_dark_skin_tone:,"dark skin tone, man in steamy room, sauna, steam room, man, in, steamy, room:, dark, skin, tone"
:woman_in_steamy_room:,"sauna, steam room, woman in steamy room, woman, in, steamy, room"
:woman_in_steamy_room_light_skin_tone:,"light skin tone, sauna, steam room, woman in steamy room, woman, in, steamy, room:, light, skin, tone"
:woman_in_steamy_room_medium-light_skin_tone:,"medium-light skin tone, sauna, steam room, woman in steamy room, woman, in, steamy, room:, medium-light, skin, tone"
:woman_in_steamy_room_medium_skin_tone:,"medium skin tone, sauna, steam room, woman in steamy room, woman, in, steamy, room:, medium, skin, tone"
:woman_in_steamy_room_medium-dark_skin_tone:,"medium-dark skin tone, sauna, steam room, woman in steamy room, woman, in, steamy, room:, medium-dark, skin, tone"
:woman_in_steamy_room_dark_skin_tone:,"dark skin tone, sauna, steam room, woman in steamy room, woman, in, steamy, room:, dark, skin, tone"
:person_climbing:,"climber, person climbing, person, climbing"
:person_climbing_light_skin_tone:,"climber, light skin tone, person climbing, person, climbing:, light, skin, tone"
:person_climbing_medium-light_skin_tone:,"climber, medium-light skin tone, person climbing, person, climbing:, medium-light, skin, tone"
:person_climbing_medium_skin_tone:,"climber, medium skin tone, person climbing, person, climbing:, medium, skin, tone"
:person_climbing_medium-dark_skin_tone:,"climber, medium-dark skin tone, person climbing, person, climbing:, medium-dark, skin, tone"
:person_climbing_dark_skin_tone:,"climber, dark skin tone, person climbing, person, climbing:, dark, skin, tone"
:man_climbing:,"climber, man climbing, man, climbing"
:man_climbing_light_skin_tone:,"climber, light skin tone, man climbing, man, climbing:, light, skin, tone"
:man_climbing_medium-light_skin_tone:,"climber, man climbing, medium-light skin tone, man, climbing:, medium-light, skin, tone"
:man_climbing_medium_skin_tone:,"climber, man climbing, medium skin tone, man, climbing:, medium, skin, tone"
:man_climbing_medium-dark_skin_tone:,"climber, man climbing, medium-dark skin tone, man, climbing:, medium-dark, skin, tone"
:man_climbing_dark_skin_tone:,"climber, dark skin tone, man climbing, man, climbing:, dark, skin, tone"
:woman_climbing:,"climber, woman climbing, woman, climbing"
:woman_climbing_light_skin_tone:,"climber, light skin tone, woman climbing, woman, climbing:, light, skin, tone"
:woman_climbing_medium-light_skin_tone:,"climber, medium-light skin tone, woman climbing, woman, climbing:, medium-light, skin, tone"
:woman_climbing_medium_skin_tone:,"climber, medium skin tone, woman climbing, woman, climbing:, medium, skin, tone"
:woman_climbing_medium-dark_skin_tone:,"climber, medium-dark skin tone, woman climbing, woman, climbing:, medium-dark, skin, tone"
:woman_climbing_dark_skin_tone:,"climber, dark skin tone, woman climbing, woman, climbing:, dark, skin, tone"
:person_fencing:,"fencer, fencing, person fencing, sword, person, fencing"
:horse_racing:,"horse, jockey, racehorse, racing, horse, racing"
:horse_racing_light_skin_tone:,"horse, jockey, light skin tone, racehorse, racing, horse, racing:, light, skin, tone"
:horse_racing_medium-light_skin_tone:,"horse, jockey, medium-light skin tone, racehorse, racing, horse, racing:, medium-light, skin, tone"
:horse_racing_medium_skin_tone:,"horse, jockey, medium skin tone, racehorse, racing, horse, racing:, medium, skin, tone"
:horse_racing_medium-dark_skin_tone:,"horse, jockey, medium-dark skin tone, racehorse, racing, horse, racing:, medium-dark, skin, tone"
:horse_racing_dark_skin_tone:,"dark skin tone, horse, jockey, racehorse, racing, horse, racing:, dark, skin, tone"
:skier:,"ski, skier, snow, skier"
:snowboarder:,"ski, snow, snowboard, snowboarder, snowboarder"
:snowboarder_light_skin_tone:,"light skin tone, ski, snow, snowboard, snowboarder, snowboarder:, light, skin, tone"
:snowboarder_medium-light_skin_tone:,"medium-light skin tone, ski, snow, snowboard, snowboarder, snowboarder:, medium-light, skin, tone"
:snowboarder_medium_skin_tone:,"medium skin tone, ski, snow, snowboard, snowboarder, snowboarder:, medium, skin, tone"
:snowboarder_medium-dark_skin_tone:,"medium-dark skin tone, ski, snow, snowboard, snowboarder, snowboarder:, medium-dark, skin, tone"
:snowboarder_dark_skin_tone:,"dark skin tone, ski, snow, snowboard, snowboarder, snowboarder:, dark, skin, tone"
:person_golfing:,"ball, golf, person golfing, person, golfing"
:person_golfing_light_skin_tone:,"ball, golf, light skin tone, person golfing, person, golfing:, light, skin, tone"
:person_golfing_medium-light_skin_tone:,"ball, golf, medium-light skin tone, person golfing, person, golfing:, medium-light, skin, tone"
:person_golfing_medium_skin_tone:,"ball, golf, medium skin tone, person golfing, person, golfing:, medium, skin, tone"
:person_golfing_medium-dark_skin_tone:,"ball, golf, medium-dark skin tone, person golfing, person, golfing:, medium-dark, skin, tone"
:person_golfing_dark_skin_tone:,"ball, dark skin tone, golf, person golfing, person, golfing:, dark, skin, tone"
:man_golfing:,"golf, man, man golfing, man, golfing"
:man_golfing_light_skin_tone:,"golf, light skin tone, man, man golfing, man, golfing:, light, skin, tone"
:man_golfing_medium-light_skin_tone:,"golf, man, man golfing, medium-light skin tone, man, golfing:, medium-light, skin, tone"
:man_golfing_medium_skin_tone:,"golf, man, man golfing, medium skin tone, man, golfing:, medium, skin, tone"
:man_golfing_medium-dark_skin_tone:,"golf, man, man golfing, medium-dark skin tone, man, golfing:, medium-dark, skin, tone"
:man_golfing_dark_skin_tone:,"dark skin tone, golf, man, man golfing, man, golfing:, dark, skin, tone"
:woman_golfing:,"golf, woman, woman golfing, woman, golfing"
:woman_golfing_light_skin_tone:,"golf, light skin tone, woman, woman golfing, woman, golfing:, light, skin, tone"
:woman_golfing_medium-light_skin_tone:,"golf, medium-light skin tone, woman, woman golfing, woman, golfing:, medium-light, skin, tone"
:woman_golfing_medium_skin_tone:,"golf, medium skin tone, woman, woman golfing, woman, golfing:, medium, skin, tone"
:woman_golfing_medium-dark_skin_tone:,"golf, medium-dark skin tone, woman, woman golfing, woman, golfing:, medium-dark, skin, tone"
:woman_golfing_dark_skin_tone:,"dark skin tone, golf, woman, woman golfing, woman, golfing:, dark, skin, tone"
:person_surfing:,"person surfing, surfing, person, surfing"
:person_surfing_light_skin_tone:,"light skin tone, person surfing, surfing, person, surfing:, light, skin, tone"
:person_surfing_medium-light_skin_tone:,"medium-light skin tone, person surfing, surfing, person, surfing:, medium-light, skin, tone"
:person_surfing_medium_skin_tone:,"medium skin tone, person surfing, surfing, person, surfing:, medium, skin, tone"
:person_surfing_medium-dark_skin_tone:,"medium-dark skin tone, person surfing, surfing, person, surfing:, medium-dark, skin, tone"
:person_surfing_dark_skin_tone:,"dark skin tone, person surfing, surfing, person, surfing:, dark, skin, tone"
:man_surfing:,"man, surfing, man, surfing"
:man_surfing_light_skin_tone:,"light skin tone, man, surfing, man, surfing:, light, skin, tone"
:man_surfing_medium-light_skin_tone:,"man, medium-light skin tone, surfing, man, surfing:, medium-light, skin, tone"
:man_surfing_medium_skin_tone:,"man, medium skin tone, surfing, man, surfing:, medium, skin, tone"
:man_surfing_medium-dark_skin_tone:,"man, medium-dark skin tone, surfing, man, surfing:, medium-dark, skin, tone"
:man_surfing_dark_skin_tone:,"dark skin tone, man, surfing, man, surfing:, dark, skin, tone"
:woman_surfing:,"surfing, woman, woman, surfing"
:woman_surfing_light_skin_tone:,"light skin tone, surfing, woman, woman, surfing:, light, skin, tone"
:woman_surfing_medium-light_skin_tone:,"medium-light skin tone, surfing, woman, woman, surfing:, medium-light, skin, tone"
:woman_surfing_medium_skin_tone:,"medium skin tone, surfing, woman, woman, surfing:, medium, skin, tone"
:woman_surfing_medium-dark_skin_tone:,"medium-dark skin tone, surfing, woman, woman, surfing:, medium-dark, skin, tone"
:woman_surfing_dark_skin_tone:,"dark skin tone, surfing, woman, woman, surfing:, dark, skin, tone"
:person_rowing_boat:,"boat, person rowing boat, rowboat, person, rowing, boat"
:person_rowing_boat_light_skin_tone:,"boat, light skin tone, person rowing boat, rowboat, person, rowing, boat:, light, skin, tone"
:person_rowing_boat_medium-light_skin_tone:,"boat, medium-light skin tone, person rowing boat, rowboat, person, rowing, boat:, medium-light, skin, tone"
:person_rowing_boat_medium_skin_tone:,"boat, medium skin tone, person rowing boat, rowboat, person, rowing, boat:, medium, skin, tone"
:person_rowing_boat_medium-dark_skin_tone:,"boat, medium-dark skin tone, person rowing boat, rowboat, person, rowing, boat:, medium-dark, skin, tone"
:person_rowing_boat_dark_skin_tone:,"boat, dark skin tone, person rowing boat, rowboat, person, rowing, boat:, dark, skin, tone"
:man_rowing_boat:,"boat, man, man rowing boat, rowboat, man, rowing, boat"
:man_rowing_boat_light_skin_tone:,"boat, light skin tone, man, man rowing boat, rowboat, man, rowing, boat:, light, skin, tone"
:man_rowing_boat_medium-light_skin_tone:,"boat, man, man rowing boat, medium-light skin tone, rowboat, man, rowing, boat:, medium-light, skin, tone"
:man_rowing_boat_medium_skin_tone:,"boat, man, man rowing boat, medium skin tone, rowboat, man, rowing, boat:, medium, skin, tone"
:man_rowing_boat_medium-dark_skin_tone:,"boat, man, man rowing boat, medium-dark skin tone, rowboat, man, rowing, boat:, medium-dark, skin, tone"
:man_rowing_boat_dark_skin_tone:,"boat, dark skin tone, man, man rowing boat, rowboat, man, rowing, boat:, dark, skin, tone"
:woman_rowing_boat:,"boat, rowboat, woman, woman rowing boat, woman, rowing, boat"
:woman_rowing_boat_light_skin_tone:,"boat, light skin tone, rowboat, woman, woman rowing boat, woman, rowing, boat:, light, skin, tone"
:woman_rowing_boat_medium-light_skin_tone:,"boat, medium-light skin tone, rowboat, woman, woman rowing boat, woman, rowing, boat:, medium-light, skin, tone"
:woman_rowing_boat_medium_skin_tone:,"boat, medium skin tone, rowboat, woman, woman rowing boat, woman, rowing, boat:, medium, skin, tone"
